Product ID1,Product ID2,Category,Product Name,Price,Details,On Promo,Original Price,Promo Date
p9894,254189,Grocery Range Craft Beer,Pilgrims Session Ale 4%,€ 10.00,Franciscan Well,No,,
p9901,254411,Grocery Range Craft Beer,Punk AF 0.5%,€ 7.00,,No,,
p3261,211169,Grocery Range Red Wines,Spanish Red Wine 11%,€ 3.99,,No,,
p9893,254196,Grocery Range Craft Beer,Rambler Pale Ale 4.6%,€ 2.79,Porterhouse,No,,
p2895,212007,Grocery Range Craft Beer,India Pale Ale 6%,€ 1.99,The Crafty Brewing Company,No,,
p14422,211307,Grocery Range Red Wines,Rioja Doca Reserva,€ 8.49,Cepa Lebrel,No,,
p3747,200645,Grocery Range Red Wines,Chianti DOCG 11%,€ 6.99,,No,,
p5839,236194,Gin Festival,Premium Pink Gin 40%,€ 19.99,Hortus,Yes,,From 27.05
p11486,254495,Grocery Range Craft Beer,Cheep Flirt IPA 3.8%,€ 2.79,Brú,No,,
p3661,202073,Grocery Range Red Wines,Saint Emilion Gran Cru AOC 12.5%,€ 14.99,,No,,
p2893,212431,Grocery Range Craft Beer,Irish Lager 5%,€ 1.79,The Crafty Brewing Company,No,,
p9889,254412,Grocery Range Craft Beer,Hazy Jane American IPA 5%,€ 11.00,Brewdog,No,,
p7775,213311,Gin Festival,Premium Ice Cubes,€ 0.80,Gelatelli,No,,
p2874,224686,Grocery Range Craft Beer,American Style Brown Ale 5%,€ 1.99,The Crafty Brewing Company,No,,
p10756,254187,Grocery Range Craft Beer,Rebel Red Ale 4.3%,€ 10.00,Franciscan Well,No,,
p7731,238895,Grocery Range Vodka,Woo Woo Cocktail 5%,€ 1.49,Sunrise,No,,
p9885,254191,Grocery Range Craft Beer,Pale Ale 5.0%,€ 10.00,Sierra Nevada,No,,
p10033,228423,Gin Festival,Slimline Tonic,€ 4.99,Schweppes,Yes,ONLY,From 27.05
p3670,202199,Grocery Range Red Wines,Côtes du Rhône Villages AOC 13.5%,€ 7.49,,No,,
p3743,211145,Grocery Range Red Wines,Bordeaux Superior AOP 13.5%,€ 7.99,,No,,
p12814,240970,Gin Festival,Garnish Island Gin 46%,€ 24.99,West Cork Distillers,Yes,,From 27.05
p4881,225994,Gin Festival,Rhubarb & Ginger Gin 20%,€ 14.99,Hortus,No,,
p7198,209744,Grocery Range Gins,Gordon's London Dry Gin 37.5%,€ 22.00,,No,,
p10022,228422,Gin Festival,Tonic,€ 4.99,Schweppes,Yes,ONLY,From 27.05
p3781,225073,Grocery Range Red Wines,Beaujolais Villages AOP 12.5%,€ 7.99,,No,,
p4690,231127,Grocery Range Red Wines,Luna Argentinian Premium Malbec Agrelo 13%,€ 9.99,,No,,
p3751,211125,Grocery Range Red Wines,Chianti DOCG Riserva  13%,€ 9.99,Chianti,No,,
p3778,228159,Grocery Range Red Wines,Pinot Noir 13.5%,€ 7.49,,No,,
p9899,254194,Grocery Range Craft Beer,Wrasslers XXXX Stout 5%,€ 2.79,Porterhouse,No,,
p5033,241521,Grocery Range Red Wines,Chiara Vita  Montepulciano d'Abruzzo DOC 12.5%,€ 5.99,,No,,
